roundNum,myHp,oppHp,score,win
roundNum,myHp,oppHp,score,win
roundNum,myHp,oppHp,score,win
1,12,35,744.6808510638298,1
roundNum,myHp,oppHp,score,win
1,10,40,800.0,1
roundNum,myHp,oppHp,score,win
1,10,105,913.0434782608695,1
roundNum,myHp,oppHp,score,win
1,10,40,800.0,1
